,City,ID,State,height,weight
179,Memphis,359, TN,5.11,184.0
180,Cleveland,361, OH,6.03,255.0
181,Alexandria,363, VA,6.0,195.0
182,Detroit,365, MI,6.05,308.0
184,Mobile,369, AL,6.0,190.0
185,Clinton,371, NC,6.02,275.0
186,Montclair,373, CA,5.06,177.0
187,Toms River,375, NJ,5.07,184.0
188,Greensville,377, MS,5.08,189.0
189,Orlando,379, FL,6.05,285.0
190,Goldsboro,381, NC,6.05,311.0
191,Happy Camp,383, CA,6.03,214.0
192,Pahokee,385, FL,5.11,216.0
193,Richmond,387, VA,6.01,202.0
195,Richmond,391, IN,6.05,315.0
196,Miami,393, FL,5.08,165.0
197,Ajax,395, ON,6.04,222.0
198,Brawley,397, CA,6.01,235.0
199,Richmond,399, BC,6.01,305.0
200,Montreal,401, QC,6.02,251.0
203,Montreal,407, QC,6.01,200.0
204,Ottawa,409, ON,5.09,180.0
206,Kilkenny,413, IE,5.1,183.0
207,Kingston,415, ON,6.0,235.0
208,Burlington,417, ON,6.02,285.0
209,Melfort,419, SK,6.04,293.0
210,Maple Ridge,421, BC,6.02,215.0
211,Delta,423, BC,6.01,216.0
212,Little Rock,425, AR,6.05,317.0
213,Kingston,427, ON,6.02,237.0
214,Hudson,429, QC,6.0,199.0
215,Montreal,431, QC,6.03,300.0
216,McKeesport,433, PA,5.08,175.0
218,Chicago,437, IL,6.01,212.0
219,Detroit,439, MI,5.11,198.0
221,Beaumont,443, TX,5.09,180.0
223,San Diego,447, CA,6.0,177.0
225,Long Beach,451, CA,6.01,200.0
226,Fort Worth,453, TX,6.02,199.0
227,San Francisco,455, CA,6.02,180.0
228,Jacksonville Beach,457, FL,6.05,277.0
229,Allentown,459, PA,6.0,204.0
230,Oakland,461, CA,6.0,215.0
231,Newnan,463, GE,6.0,205.0
233,Los Angeles,467, CA,5.08,285.0
234,Chicago,469, IL,5.09,185.0
235,San Antonio,471, TX,6.02,218.0
237,Mart,475, TX,5.09,171.0
239,Haliburton,479, ON,5.08,205.0
240,Nashville,481, TN,6.05,315.0
241,Philadelphia,483, PA,6.02,215.0
242,Hamilton,485, ON,6.02,241.0
245,Durham,491, NC,6.04,280.0
247,Natichitoches,495, LA,6.02,230.0
248,Fort Qu'Appelle,497, SK,6.0,187.0
250,Collingwood,501, ON,6.03,225.0
251,Tyndall,503, SD,5.08,205.0
252,Montr?al,505, QC,5.11,205.0
253,Sault Ste. Marie,507, ON,6.03,319.0
254,Birmingham,509, AL,5.11,192.0
255,Kingston,511, ON,6.03,285.0
256,Ottawa,513, ON,6.02,190.0
257,College Park,515, GA,6.02,255.0
258,North Vancouver,517, C-B/BC,6.04,240.0
259,Fort Erie,519, ON,6.03,308.0
261,Winnipeg,523, MB,6.03,230.0
262,Montreal,525, QC,6.03,200.0
263,Fabreville,527, QC,6.04,250.0
264,Baton Rouge,529, LA,6.03,266.0
265,North Little Rock,531, AR,6.03,295.0
266,Regina,533, SK,6.02,227.0
267,London,535, ON,6.03,285.0
268,Windsor,537, ON,6.06,283.0
269,West Palm Beach,539, FL,6.0,195.0
270,DeSoto,541, TX,6.02,225.0
271,Montgomery,543, PA,5.09,190.0
275,Tulsa,551, OK,5.07,163.0
277,Heidelberg,555, GER,6.04,205.0
279,Chicago,559, IL,5.11,185.0
280,Durham,561, NC,6.06,335.0
281,Gainesville,563, FL,6.0,205.0
282,Baytown,565, TX,6.0,219.0
283,Waco,567, TX,6.02,203.0
284,Baltimore,569, MD,6.0,180.0
285,Syracuse,571, NY,6.03,215.0
286,Vancouver,573, BC,6.05,295.0
287,LaPlace,575, LA,5.11,186.0
290,Lawrence,581, MD,6.07,288.0
291,Ellwood City,583, PA,6.06,295.0
292,Chicago,585, IL,5.11,181.0
293,Oklahoma City,587, OK,6.04,305.0
294,Compton,589,CA,5.11,185.0
295,Georgetown,591, TX,6.03,222.0
297,Morgan City,595, LA,6.0,197.0
298,Houston,597, TX,5.11,175.0
300,Kingston,601, JM,6.02,245.0
301,Vancouver,603, BC,6.03,215.0
302,Montreal,605, QC,6.0,205.0
303,Ottawa,607, ON,6.03,298.0
304,Ashtown Kusami,609, GH,6.0,240.0
305,Brantford,611, ON,6.06,317.0
306,Accra,613, GH,5.1,204.0
307,North Vancouver,615, BC,5.1,205.0
308,Kinshasa,617, Zaire,6.06,360.0
309,Kingston,619, ON,6.02,222.0
310,Ste Foy,621, QC,6.0,302.0
311,Mississauga,623, ON,6.03,228.0
312,Mardel Plata,625, AR,6.02,235.0
314,Montreal,629, QC,6.03,270.0
315,Sherbrooke,631, QC,6.05,302.0
317,Chambly,635, QC,6.03,245.0
318,Burlington,637, ON,5.1,194.0
319,Myslenice,639, PL,6.02,198.0
320,Belleville,641, ON,6.03,225.0
